business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to strawberry farming.,25551.34,BioHarvest,Procured for strawberry farming operations.,Strawberry Farming
Activities related to cotton farming.,5735.22,AgriCorp,Procured for cotton farming operations.,Cotton Farming
Activities related to corn farming.,11745.98,AgriCorp,Procured for corn farming operations.,Corn Farming
Activities related to all other grain farming.,34760.53,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Irrelevant text  enaactstiol rvc meidiif rA.trtiege,48972.04,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to soybean farming.,17398.35,AgriCorp,Procured for soybean farming operations.,Soybean Farming
Activities related to rice farming.,21556.51,EcoFarms,Procured for rice farming operations.,Rice Farming
Activities related to oilseed (except soybean) farming.,26494.89,EcoFarms,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to fur-bearing animal and rabbit production.,31855.19,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to apiculture.,36281.46,AgriCorp,Procured for apiculture operations.,Apiculture
Activities related to mushroom production.,38320.6,BioHarvest,Procured for mushroom production operations.,Mushroom Production
Irrelevant text tptrotreolnitcdcirllreudeii ves.itotcAo ua fu ,42808.49,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to soybean farming.,20430.11,FreshFields,Procured for soybean farming operations.,Soybean Farming
Activities related to floriculture production.,49998.95,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to nursery and tree production.,19501.31,AgriCorp,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to all other animal production.,34965.69,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to rice farming.,33499.7,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to rice farming.,23219.29,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to oilseed and grain combination farming.,38677.27,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to all other grain farming.,34102.87,FreshFields,Procured for all other grain farming operations.,All Other Grain Farming
Irrelevant text ocvdlttr.it Af tt aesseidtet ecoeillae,24186.45,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
eee ol Afrrtdnis hcelagsoeic.i itlmrart i setcovauonmtalp l,23168.9,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to finfish farming and fish hatcheries.,21032.04,BioHarvest,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to wheat farming.,37316.3,CropGen,Procured for wheat farming operations.,Wheat Farming
Activities related to poultry hatcheries.,25783.63,FreshFields,Procured for poultry hatcheries operations.,Poultry Hatcheries
Acivities related to turkey pdruction.,12118.3,CropGen,Procured for turkey production operations.,Turkey Production
Activities related to turkey production.,18913.95,CropGen,Procured for turkey production operations.,Turkey Production
Activities related to other food crops grown under cover.,4731.91,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to sugar beet farming.,11624.21,FreshFields,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to all other miscellaneous crop farming.,28199.49,CropGen,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to other vegetable (except potato) and melon farming.,7753.93,BioHarvest,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to orange groves.,49377.78,BioHarvest,Procured for orange groves operations.,Orange Groves
Activities related to hay farming.,44935.69,CropGen,Procured for hay farming operations.,Hay Farming
Activities related to all other animal production.,14696.74,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to peanut farming.,36225.15,FreshFields,Procured for peanut farming operations.,Peanut Farming
Activities related to other noncitrus fruit farming.,30028.63,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to apple orchards.,16118.28,FreshFields,Procured for apple orchards operations.,Apple Orchards
Activities related to sugar beet farming.,35861.45,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to other poultry production.,48529.54,FreshFields,Procured for other poultry production operations.,Other Poultry Production
atarhsiesirihtdhcctn Aishi  gmtnefif re faeelios.tdi fanv ,21907.25,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to floriculture production.,37300.86,EcoFarms,Procured for floriculture production operations.,Floriculture Production
Irrelevant text ftbeig oainistAedtcoo cilte. rcavmrta ,7238.34,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to potato farming.,11617.82,AgriCorp,Procured for potato farming operations.,Potato Farming
Activities related to cattle feedlots.,38448.96,FreshFields,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to oilseed and grain combination farming.,5035.88,AgriCorp,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to all other grain farming.,38822.93,BioHarvest,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to tobacco farming.,25512.36,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to dual-purpose cattle ranching and farming.,16810.89,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to all other miscellaneous crop farming.,24885.21,BioHarvest,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to apple orchards.,14668.12,FreshFields,Procured for apple orchards operations.,Apple Orchards
Activities related to apiculture.,40608.78,CropGen,Procured for apiculture operations.,Apiculture
Activities related to orses and ther equine production.,8191.4,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to rice farming.,13193.55,BioHarvest,Procured for rice farming operations.,Rice Farming
Activities related to tobacco farming.,25789.99,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to peanut farming.,15167.67,EcoFarms,Procured for peanut farming operations.,Peanut Farming
Actovities related to othrr vegetabel (except potato) and melon farming.,27899.08,AgriCorp,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to berry (except strawberry) farming.,2148.03,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to cotton farming.,45994.88,CropGen,Procured for cotton farming operations.,Cotton Farming
Activities related to sugar beet farming.,27916.17,EcoFarms,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to strwaberryfarmin.g,26036.82,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities relatedt o other foodcrops grwon under cover.,27082.81,EcoFarms,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Irrelevant text ii eddtrAeotipvoru r olt riso.ao elyputtthteccn,13658.55,EcoFarms,Procured for other poultry production operations.,Other Poultry Production
Activities related to cotton farming.,16870.6,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Irrelevant text d Addto uevtttticse i torseelha.rrun aeecqroiiponiho n es,14563.19,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to dry pea and bean farming.,14114.33,EcoFarms,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to all other miscellaneous crop farming.,46567.9,BioHarvest,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
